City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,invercargill,-46.4,168.35,9.95,93,100,3.42,NZ,1689251417
157,bu'aale,1.0833,42.5833,32.98,34,100,8.33,SO,1689251418
158,barra de santo antonio,-9.4047,-35.5072,24.6,72,13,1.55,BR,1689251418
159,leh,34.1667,77.5833,19.09,18,0,3.04,IN,1689251419
160,columbia city,41.1573,-85.4883,19.43,87,84,2.17,US,1689251420
161,ilha de mocambique,-15.0342,40.7358,26.88,42,8,6.77,MZ,1689251420
162,primorsk,46.7348,36.3443,25.35,46,26,7.23,UA,1689251421
163,colon,9.3592,-79.9014,23.84,90,100,1.79,PA,1689251169
164,kruisfontein,-34.0033,24.7314,19.94,45,0,4.14,ZA,1689251422
165,acapulco de juarez,16.8634,-99.8901,26.9,78,40,3.6,MX,1689251154
166,iskateley,67.6803,53.1512,19.7,39,0,7.81,RU,1689251423
167,guerrero negro,27.9769,-114.0611,18.77,87,100,5.54,MX,1689251423
168,coahuayana de hidalgo,18.7,-103.6583,24.82,77,21,1.62,MX,1689251424
169,mersing,2.4312,103.8405,25.95,89,40,1.54,MY,1689251425
170,tolanaro,-25.0319,46.9987,22.04,53,40,3.09,MG,1689251293
171,okhotsk,59.3833,143.3,11.15,93,76,1.56,RU,1689251426
172,tofol,5.3248,163.0078,28.26,79,100,6.04,FM,1689251427
173,vilcun,-38.65,-72.2333,-2.59,90,96,0.7,CL,1689251427
174,badger,64.8,-147.5333,13.23,91,0,1.54,US,1689251428
175,weno,7.4515,151.8468,28.55,75,25,4.84,FM,1689251428
176,queenstown,-31.8976,26.8753,17.38,23,0,1.83,ZA,1689251429
177,roma,43.2128,-75.4557,22.71,91,75,3.6,US,1689251276
178,san pedro pochutla,15.7333,-96.4667,24.84,68,100,1.64,MX,1689251430
179,victoria,22.2855,114.1577,31.29,77,58,4.02,HK,1689251186
180,sao joao da barra,-21.6403,-41.0511,25.05,36,0,4.38,BR,1689251431
181,canto do buriti,-8.11,-42.9444,30.61,38,0,3.65,BR,1689251431
182,ulan bator,47.9077,106.8832,15.07,72,40,7.0,MN,1689251168
183,bandarbeyla,9.4942,50.8122,30.52,51,4,13.49,SO,1689251432
184,fort abbas,29.1925,72.8536,34.96,42,19,11.43,PK,1689251433
185,kenai,60.5544,-151.2583,12.05,91,100,0.0,US,1689251433
186,namibe,-15.1961,12.1522,23.49,60,0,3.62,AO,1689251434
187,garissa,-0.4536,39.6401,31.97,35,99,11.56,KE,1689251435
188,red oak,32.5176,-96.8044,28.02,82,0,5.14,US,1689251383
189,fallon,39.4735,-118.7774,18.84,38,0,2.57,US,1689251436
190,wenling,28.3669,121.36,26.59,91,94,5.22,CN,1689251249
191,tiksi,71.6872,128.8694,7.61,72,86,3.92,RU,1689251307
192,morden,49.1919,-98.1014,15.91,82,7,3.6,CA,1689251399
193,tyrnyauz,43.3828,42.9183,19.13,90,94,2.66,RU,1689251438
194,harnosand,62.6323,17.9379,20.01,61,32,4.6,SE,1689251438
195,lebu,-37.6167,-73.65,5.97,80,73,2.09,CL,1689251292
196,myshkin,57.7897,38.4545,10.71,98,100,3.29,RU,1689251440
197,ylitornio,66.3089,23.6773,16.55,70,100,3.69,FI,1689251440
198,nemuro,43.3236,145.575,15.51,99,100,3.42,JP,1689251441
199,avarua,-21.2078,-159.775,24.03,88,20,3.6,CK,1689251441
200,fort mcmurray,56.7268,-111.381,12.77,82,75,2.57,CA,1689251442
201,uturoa,-16.7333,-151.4333,25.92,77,6,7.79,PF,1689251443
202,anadyr,64.75,177.4833,9.28,93,100,7.0,RU,1689251303
203,hau-ri,41.2006,129.4703,21.5,97,100,0.56,KP,1689251444
204,booue,-0.0921,11.9385,34.34,40,16,1.79,GA,1689251445
205,zyryanovsk,49.7386,84.2719,32.98,27,0,3.25,KZ,1689251445
206,nuku'alofa,-21.1333,-175.2,21.19,68,20,4.12,TO,1689251446
207,nuuk,64.1835,-51.7216,10.34,76,75,8.75,GL,1689251297
208,tazacorte,28.629,-17.9293,27.54,61,0,8.23,ES,1689251447
209,nouadhibou,20.931,-17.0347,24.99,73,40,6.69,MR,1689251448
210,mukalla,14.5425,49.1242,39.35,40,74,4.34,YE,1689251448
211,nema,57.5067,50.5011,16.82,71,100,2.25,RU,1689251449
212,magadan,59.5667,150.8,12.52,98,71,1.88,RU,1689251449
213,la passe,45.5549,-0.8967,23.9,50,100,4.79,FR,1689251450
214,chust,41.0094,71.2287,38.66,15,8,3.85,UZ,1689251450
215,howard springs,-12.497,131.047,25.95,85,100,2.93,AU,1689251451
216,kiunga,-6.1219,141.2906,23.3,96,79,1.03,PG,1689251452
217,izyum,49.2088,37.2485,25.88,39,15,4.82,UA,1689251452
218,lagunillas,10.1301,-71.2595,28.89,76,100,3.65,VE,1689251453
219,paphos,34.7667,32.4167,37.35,62,0,4.63,CY,1689251409
220,matoury,4.8483,-52.3317,26.98,83,20,1.03,GF,1689251454
221,clodomira,-27.5744,-64.1311,10.99,57,59,5.82,AR,1689251455
222,tan-tan,28.438,-11.1032,30.97,51,96,4.63,MA,1689251455
223,itoman,26.1247,127.6694,30.01,86,20,5.14,JP,1689251456
224,rio grande,-32.035,-52.0986,12.06,84,100,6.58,BR,1689251456
225,chibougamau,49.9168,-74.3659,15.79,72,75,3.09,CA,1689251457
226,chiang klang,19.2938,100.8617,24.61,97,7,0.81,TH,1689251458
227,dwarka,22.2394,68.9678,29.01,79,95,6.89,IN,1689251459
228,grand falls-windsor,48.9332,-55.6649,19.72,84,98,0.89,CA,1689251459
229,arafat,21.3594,39.9664,40.35,23,100,7.41,SA,1689251460
230,tinghir,31.5157,-5.5343,35.5,15,100,5.87,MA,1689251461
231,kamyzyak,46.11,48.0736,30.01,25,40,10.0,RU,1689251461
232,andergrove,-21.0833,149.1833,20.36,91,31,3.56,AU,1689251462
233,sorong,-0.8833,131.25,26.45,85,100,2.2,ID,1689251463
234,korla,41.7597,86.1469,32.16,27,0,1.13,CN,1689251464
235,inarajan village,13.2736,144.7484,27.54,95,100,6.12,GU,1689251465
236,cromer,52.9312,1.2989,22.62,63,29,4.47,GB,1689251465
237,sabang,5.8933,95.3214,28.06,76,100,11.81,ID,1689251466
238,palmas,-10.2128,-48.3603,26.93,57,0,1.03,BR,1689251467
239,suva,-18.1416,178.4415,21.71,88,75,3.09,FJ,1689251467
240,cabo san lucas,22.8909,-109.9124,29.17,68,15,0.89,MX,1689251282
241,carutapera,-1.195,-46.02,29.02,68,29,3.64,BR,1689251468
242,kirensk,57.7853,108.1119,17.3,58,100,2.95,RU,1689251469
243,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,0,2.0,RU,1689251459
244,tabas,33.5959,56.9244,43.12,8,0,3.09,IR,1689251470
245,chivhu,-19.0211,30.8922,15.7,43,44,4.81,ZW,1689251470
246,vila velha,-20.3297,-40.2925,26.08,69,0,4.12,BR,1689251304
247,shuya,56.8487,41.3883,11.62,93,100,2.96,RU,1689251471
248,cova figueira,14.8905,-24.2934,23.93,78,94,1.99,CV,1689251472
249,hammerfest,70.6634,23.6821,26.25,36,0,6.17,NO,1689251473
250,lihue,21.9789,-159.3672,25.77,81,20,5.14,US,1689251474
251,brookings,44.3114,-96.7984,18.54,96,0,0.89,US,1689251270
252,youghal,51.95,-7.8506,16.97,89,100,6.97,IE,1689251475
253,metahara,8.9,39.9167,35.68,23,94,4.79,ET,1689251475
254,lepe,37.2548,-7.2043,36.17,24,0,2.9,ES,1689251476
255,guardo,42.7897,-4.8482,23.69,34,38,3.36,ES,1689251477
256,vanimo,-2.6741,141.3028,26.12,88,89,2.36,PG,1689251477
257,brisas de zicatela,15.8369,-97.0419,26.41,76,100,2.76,MX,1689251478
258,bonner,48.8333,-117.0013,11.83,75,6,1.11,US,1689251478
259,sur,22.5667,59.5289,35.5,50,100,1.73,OM,1689251479
260,hermosillo,29.0667,-110.9667,31.95,60,75,0.89,MX,1689251167
261,dunedin,-45.8742,170.5036,10.45,76,100,1.34,NZ,1689251480
262,isangel,-19.55,169.2667,21.9,58,100,7.61,VU,1689251481
263,udachny,66.4167,112.4,11.36,71,97,4.27,RU,1689251482
264,novodvinsk,64.4165,40.8122,20.06,62,100,4.14,RU,1689251484
265,ormond-by-the-sea,29.3491,-81.0665,28.38,90,0,2.57,US,1689251484
266,seydi,39.4816,62.9137,40.52,15,40,11.06,TM,1689251485
267,tres coracoes,-21.6969,-45.2533,24.05,40,0,6.17,BR,1689251485
268,mikkeli,61.6886,27.2723,23.06,49,0,2.06,FI,1689251486
269,fort bragg,35.139,-79.006,26.78,95,100,4.12,US,1689251487
270,francistown,-21.17,27.5079,19.4,29,5,5.84,BW,1689251487
271,stanley,54.868,-1.6985,20.84,53,40,6.69,GB,1689251488
272,touros,-5.1989,-35.4608,28.71,62,35,6.52,BR,1689251488
273,nizhnesortymskiy,62.4397,71.7603,18.31,53,100,5.27,RU,1689251489
274,vilyuysk,63.7553,121.6247,12.58,84,7,2.6,RU,1689251490
275,namdrik,5.5994,168.1028,28.87,75,100,7.29,MH,1689251490
276,cill airne,52.05,-9.5167,16.03,94,100,2.06,IE,1689251491
277,nar'yan-mar,67.6713,53.087,19.98,37,1,8.25,RU,1689251294
278,san luis,-33.295,-66.3356,2.77,74,6,1.99,AR,1689251492
279,dompu,-8.5356,118.4622,22.29,88,27,1.09,ID,1689251493
280,nishinoomote,30.7333,131.0,27.0,85,99,6.2,JP,1689251493
281,amga,60.8953,131.9608,12.89,96,100,3.41,RU,1689251494
282,mbanza-ngungu,-5.25,14.8667,34.31,18,62,1.91,CD,1689251494
283,praya,14.9215,-23.5087,29.3,61,75,4.12,CV,1689251495
284,rosarito,32.3333,-117.0333,21.8,65,0,3.23,MX,1689251495
285,la'ie,21.6477,-157.9253,26.98,79,92,4.02,US,1689251496
286,donji vakuf,44.1436,17.4,31.3,43,91,4.57,BA,1689251497
287,guayaramerin,-10.8368,-65.3614,24.03,94,0,0.51,BO,1689251497
288,atafu village,-8.5421,-172.5159,28.2,76,95,4.85,TK,1689251498
289,dawesville,30.9224,-84.0091,26.31,91,0,1.54,US,1689251498
290,gebeit,21.0667,36.3167,42.42,10,52,5.53,SD,1689251499
